id,0
K751808,0.25
K837351,0.62
K548114,0.12
K736156,0.18
K508080,0.08
K823422,0.18
K912220,0.24
K917925,0.57
K857768,0.27
K733855,0.2
K530927,0.26
K689281,0.59
K779910,0.23
K696152,0.13
K984423,0.6
K521601,0.13
K805248,0.21
K896458,0.12
K802487,0.1
K619527,0.46
K653124,0.17
K977125,0.22
K885860,0.21
K669676,0.18
K915073,0.3
K632791,0.14
K815141,0.61
K867693,0.14
K961174,0.18
K688992,0.24
K547786,0.28
K726310,0.12
K963760,0.16
K926609,0.19
K884651,0.3
K644620,0.09
K677219,0.28
K725038,0.11
K884425,0.5
K891429,0.2
K838479,0.23
K526004,0.15
K763596,0.22
K990929,0.35
K954837,0.24
K718970,0.23
K888726,0.49
K994955,0.15
K633153,0.14
K928121,0.24
K953945,0.16
K709629,0.17
K694845,0.36
K963281,0.18
K874326,0.18
K641920,0.08
K890217,0.17
K548035,0.23
K723452,0.33
K948363,0.43
K820239,0.17
K896590,0.24
K932037,0.18
K937754,0.32
K774408,0.17
K539470,0.62
K518293,0.17
K786774,0.19
K720003,0.27
K609473,0.27
K982436,0.21
K614020,0.23
K874108,0.25
K977085,0.2
K947599,0.57
K888551,0.22
K700222,0.17
K674517,0.15
K951596,0.17
K834937,0.44
K855476,0.08
K833208,0.1
K763287,0.21
K503978,0.25
K591416,0.15
K558625,0.36
K613758,0.48
K651230,0.61
K813321,0.16
K604105,0.17
K877024,0.39
K984122,0.17
K889986,0.45
K794185,0.15
K557118,0.19
K914279,0.12
K661078,0.12
K693776,0.19
K534207,0.2
K877484,0.27
K610918,0.19
K575118,0.23
K781836,0.21
K740446,0.52
K777229,0.18
K645863,0.6
K975623,0.37
K973462,0.18
K754902,0.5
K602728,0.18
K527217,0.13
K536045,0.29
K648967,0.15
K794589,0.18
K626635,0.5
K920875,0.2
K987278,0.45
K834490,0.25
K798363,0.24
K907249,0.11
K686713,0.15
K955872,0.17
K984811,0.18
K676484,0.18
K876097,0.74
K738209,0.14
K995912,0.36
K648054,0.24
K970986,0.19
